HP EFT / BH ExFT (¡C),Count,ODA Temperature (¡C),EL 007 (kW),GHE EFT (¡C),GHE ExFT (¡C),Clg Provided (kW),Bldg Htg Provided (kW),EL 003 (kW),CP Energy (kW),DHW Provided by HP (kW),DHW by LPS (kW),Useful Bldg Htg by LPS (kW),Bldg Htg Uncertainty (kW),Bldg Clg Uncertainty (kW),DHW Htg by HP Uncertainty (kW),Bldg + DHW Htg by HP Uncertainty (kW),EL007+EL011 Uncertainty (kW),EL011 Uncertainty (kW),LPS DHW Uncertainty (kW),LPS Elec. Usage (kW),HtgFrac,COP H4,COP H3,COP H2,COP C3,COP C2,Overall (H+C) COP,COP H1*,Not used,Not used,Not used,Not used,Error COP H3,Error COP H2,Error COP H3b,Error COP C2,Error COP H1*,,,,,,,Fractional uncertainty in LPS,Absolute uncertainty in LPS output,HP EFT / BH ExFT (¡C),Total Heating and Cooling (kWh/h),Uncertainty,,,,,,,,,,,,,,,,,,,,,,,,
7,7,-10.60317557,36.51571429,4.814285714,7.03,15.42857143,136.5714286,15.70142857,1.430985621,3.665232406,0.382420635,3,6.845786401,0.848667518,0.275673772,6.852618812,0.41825282,0.19,0.109841965,3.382420635,0.900886208,2.83490897,3.798957212,4.073988505,9.914080856,108.7818285,4.191343475,4.232499867,0,0,0,0.15999008,0.186071799,0.205161086,0.186094482,15.39089298,0,,,,,,,0.287228132,0.079181263,7,156.047653,6.905424738,,,,,,,,,,,,,,,,,,,,,,,,
7.5,31,-9.998208774,22.43967742,6.016129032,7.61,8.516129032,73.96774194,12.95612903,1.062030884,1.555738717,0.161442652,2.903225806,3.71954152,0.452315661,0.116661038,3.728569276,0.299620743,0.19,0.046370872,3.161442652,0.898665295,2.305794018,3.359316681,3.732753696,6.486475202,79.13104123,3.706295603,3.917551662,0,0,0,0.130817167,0.165085936,0.19241037,0.165097835,14.6859735,0,,,,,,,0.287228132,0.033508332,7.5,84.20105234,3.756053928,,,,,,,,,,,,,,,,,,,,,,,,
8,342,-3.303933906,19.38026316,6.791812865,8.08,10.5497076,60.52631579,14.17002924,1.017821723,2.672358577,0.272595029,2.973684211,3.049671746,0.561211953,0.198511083,3.069838812,0.275458482,0.19,0.078296961,3.272595029,0.856949979,2.107806545,3.280829592,3.721971859,5.204532801,72.45707211,3.774602452,3.923514804,0,0,0,0.116822648,0.158010255,0.190664622,0.158057543,13.97649378,0,,,,,,,0.287228132,0.057017968,8,74.020977,3.121236972,,,,,,,,,,,,,,,,,,,,,,,,
8.5,1343,0.007528712,16.34428891,7.424944155,8.52,9.717795979,49.06924795,13.62879375,1.014713386,2.076887208,0.214535141,2.984363366,2.474086596,0.51774397,0.1553726,2.491042789,0.252765543,0.19,0.061620528,3.214535141,0.840335716,1.955064714,3.160148226,3.657879825,4.465834048,59.98140161,3.690467261,3.895437499,0,0,0,0.10837877,0.152118346,0.190081756,0.152160542,11.60516262,0,,,,,,,0.287228132,0.044627382,8.5,61.07846628,2.544669841,,,,,,,,,,,,,,,,,,,,,,,,
9,1460,2.515278027,13.59369178,8.040410959,8.99,9.629620672,40.49863014,13.44533562,1.014653365,1.979729844,0.20898183,2.993835616,2.044477845,0.517190188,0.149930763,2.066216916,0.232581117,0.19,0.060025461,3.20898183,0.815198736,1.86041363,3.16772049,3.788700748,3.875543321,51.35545049,3.786246666,4.09047149,0,0,0,0.102744084,0.152115998,0.200419334,0.152172937,9.936030967,0,,,,,,,0.287228132,0.043064333,9,52.31696248,2.130397281,,,,,,,,,,,,,,,,,,,,,,,,
9.5,930,5.243996849,10.50502151,8.820483871,9.46,10.46999059,26.90967742,13.67247312,1.010335856,2.374893393,0.249985812,2.94516129,1.364016221,0.565615249,0.179571552,1.414805735,0.205146567,0.19,0.071802958,3.249985812,0.736634232,1.578475814,2.887273522,3.660899153,2.907635002,39.34786752,3.729776433,4.036447518,0,0,0,0.085345987,0.136345733,0.200441847,0.136495056,7.640506478,0,,,,,,,0.287228132,0.051578002,9.5,40.00454722,1.524551137,,,,,,,,,,,,,,,,,,,,,,,,
10,627,7.548822182,8.265358852,9.553987241,9.98,11.37245899,18.68022329,13.59934609,1.01202746,2.510623028,0.271666888,2.674641148,0.944877409,0.616137067,0.192874736,1.022445781,0.181379895,0.19,0.078030373,3.271666888,0.650758457,1.410271933,2.704763005,3.749081095,2.394475814,32.17630608,3.827544973,4.243522922,0,0,0,0.075484273,0.127079663,0.217682941,0.127380129,6.238271405,0,,,,,,,0.287228132,0.05539905,10,32.83497219,1.19502691,,,,,,,,,,,,,,,,,,,,,,,,
10.5,740,9.676202488,5.769716216,10.32810811,10.50,10.16013514,8.539189189,12.43689189,1.012607901,1.787307069,0.204860173,1.755405405,0.431826479,0.551060044,0.142036536,0.518939337,0.148186033,0.19,0.058841605,3.204860173,0.504060236,1.020608853,1.956449742,3.357913772,1.647246882,20.23155397,3.309617262,4.026150428,0,0,0,0.056362713,0.094652979,0.234568324,0.095115581,3.931615703,0,,,,,,,0.287228132,0.040796889,10.5,20.69149157,0.758043267,,,,,,,,,,,,,,,,,,,,,,,,
11,1328,14.1031849,3.623896837,11.03862952,11.03,11.37801205,1.229668675,10.52191642,1.011332685,0.884104528,0.101314424,0.370481928,0.061968498,0.623478121,0.070249183,0.125713008,0.11424799,0.19,0.029100353,3.101314424,0.156671127,0.490399186,0.683589308,3.103793031,1.282255505,13.34060043,3.012489789,4.044860963,0,0,0,0.035233728,0.039128437,0.554088412,0.039877665,2.635303259,0,,,,,,,0.287228132,0.020177542,11,13.59309968,0.636345709,,,,,,,,,,,,,,,,,,,,,,,,
11.5,1174,16.03849733,3.38096678,11.50127768,11.46,17.75681431,0.139693356,12.24447615,1.012101421,1.285232066,0.155598263,0.071550256,0.007050082,0.967850706,0.105618669,0.110990512,0.110975749,0.19,0.044692199,3.155598263,0.074285515,0.385049096,0.478009734,4.741012258,1.566562709,18.95238889,4.418071234,6.322646311,0,0,0,0.036779219,0.035593342,1.7952607,0.03786954,3.897599691,0,,,,,,,0.287228132,0.030336653,11.5,19.337338,0.974666197,,,,,,,,,,,,,,,,,,,,,,,,
12,459,19.41321847,3.634662309,12.01220044,11.98,38.74509804,0,14.61851852,1.011716411,2.013736481,0.242540244,0,0,2.11101969,0.164954939,0.164954939,0.113670784,0.19,0.069664381,3.242540244,0.049406135,0.517862058,0.612345372,4.554861598,2.78816451,40.28681759,8.824372103,5.135483722,0,0,0,0.052747649,0.04859064,1.239166172,0.052139353,8.371087158,0,,,,,,,0.287228132,0.047379699,12,41.00137477,2.117984679,,,,,,,,,,,,,,,,,,,,,,,,
