,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,,,,,,,,,,,,
 Month,Count,ODA Temperature (¡C),EL 007 (kW),GHE EFT (¡C),GHE ExFT (¡C),Clg Provided (kW),Bldg Htg Provided (kW),EL 003 (kW),CP Energy (kW),DHW Provided by HP (kW),DHW by LPS (kW),Useful Bldg Htg by LPS (kW),Bldg Htg Uncertainty (kW),Bldg Clg Uncertainty (kW),DHW Htg by HP Uncertainty (kW),Bldg + DHW Htg by HP Uncertainty (kW),EL007+EL011 Uncertainty (kW),EL011 Uncertainty (kW),LPS DHW Uncertainty (kW),LPS Elec. Usage (kW),HtgFrac,COP H4,COP H3,COP H2,COP C3,COP C2,Overall (H+C) COP,COP H1*,Not used,Not used,Not used,Not used,Error COP H3,Error COP H2,Error COP H3b,Error COP C2,Error COP H1*,,,,Cooling provided (kWh),Clg. Elec. Calculated from COP C2 (kWh),Htg to bldg + DHW (kWh), Htg. Elec.  Calculated from COP H2 (kWh) ,EL007 (kWh),EL003 (kWh),CP energy for htg (kWh),HP +int CP energy (kWh),HP + source CPs energy (kWh),CP energy for clg (kWh)
1,744,-0.332138655,16.76150538,7.204973118,8.4,9.626344086,52.7311828,13.8377957,1.021663465,2.260947645,0.232308468,2.97983871,2.658,0.514,0.168614697,2.677955318,0.257324046,0.19,0.066725527,3.232308468,0.851027989,2.039546206,3.301252228,3.819253055,4.669708668,63.24829725,3.81431579,4.064700278,0,0,0,0.113250328,0.159348168,0.198169658,0.159393103,12.15917394,0,,,,7162,113.23625,40914.14505,10712.60387,12470.56,10295.32,646.881368,10065.7225,10712.60387,113.23625
2,672,0.027445799,15.76072917,7.466145833,8.528497024,11.11532738,47.56622024,14.10199405,1.015740312,2.721953369,0.273306052,2.986607143,2.398,0.591,0.200460965,2.426634368,0.247472377,0.19,0.078501187,3.273306052,0.818978931,1.960752658,3.227227184,3.775588801,4.354242441,60.45196816,3.854411339,4.027105764,0,0,0,0.107597867,0.153965095,0.195317191,0.154037768,11.67846444,0,,,,7469.5,123.5609067,33793.65266,8950.564916,10591.21,9476.54,559.0165828,8391.548333,8950.564916,123.5609067
3,744,3.135342255,12.25231183,8.241330645,9.028763441,11.56653226,33.89516129,13.7138172,1.010647223,2.817118632,0.282993952,2.858870968,1.712,0.622,0.207522048,1.770610929,0.217170086,0.19,0.081283824,3.282993952,0.760422187,1.757190732,3.060799014,3.770065365,3.520450321,47.77019229,3.877013938,4.093096089,0,0,0,0.095809943,0.145249681,0.200500185,0.145383768,9.272137979,0,,,,8605.5,180.143717,27313.93626,7244.950317,9115.72,10203.08,571.7778169,6673.1725,7244.950317,180.143717
4,720,5.755324542,9.686111111,8.970694444,9.506944444,10.67134614,23.59513889,13.38961111,1.012410253,2.314023156,0.238516397,2.9125,1.199,0.587,0.172874769,1.263854937,0.197480974,0.19,0.068508619,3.238516397,0.708277805,1.515945248,2.793394109,3.616243237,2.732006768,36.1320997,3.713739799,4.018422868,0,0,0,0.082395596,0.132555547,0.202839734,0.132719026,7.006916023,0,,,,7683.369218,212.6466295,18654.59667,5158.556947,6974,9640.52,516.2887524,4642.268194,5158.556947,212.6466295
5,744,12.60920885,4.493427419,10.68548387,10.75625,17.91666667,3.26344086,13.30165323,1.010323226,1.890181505,0.204619176,0.762096774,0.165,0.985,0.145172878,0.302031992,0.128721125,0.19,0.058772384,3.204619176,0.223387854,0.819887079,1.296923273,3.402849087,1.734392608,22.83456267,4.367386266,3.998750311,0,0,0,0.055556343,0.073127637,0.353444349,0.074180562,4.505458675,0,,,,13330,583.7641907,3834.29504,1126.789623,3343.11,9896.43,167.9162896,958.8733333,1126.789623,583.7641907
6,720,15.98487783,3.5995,11.33555556,11.30083333,23.16388889,0.781944444,11.06066667,1.011263992,1.039425904,0.118571181,0.220833333,0.039,1.274,0.082332461,0.120671444,0.113012559,0.19,0.034056979,3.118571181,0.072897797,0.490438906,0.588251044,3.283832656,2.258928868,24.70696024,5.492509223,3.787193188,0,0,0,0.041021661,0.037507188,0.706256427,0.038636169,4.943824278,0,,,,16678,675.0324539,1311.386651,399.3463702,2591.64,7963.68,53.07762017,346.26875,399.3463702,675.0324539
7,744,18.38829287,3.241854839,11.59758065,11.54744624,24.60215054,0,10.67946237,1.011635639,0.518616977,0.062418235,0,0.000,1.353,0.042453842,0.042453842,0.10713312,0.19,0.017928273,3.062418235,0.02064495,0.167816155,0.178081983,2.588919692,2.352250203,24.83183326,5.920592953,2.890251852,0,0,0,0.018011604,0.014265222,1.40354941,0.015286921,5.159431268,0,,,,18304,737.1183517,385.8510307,149.0393974,2411.94,7945.52,15.53856402,133.5008333,149.0393974,737.1183517
8,744,16.57739814,3.446841398,11.55443548,11.50564516,20.38037634,0.143817204,11.91630376,1.01199526,1.077644583,0.134144452,0.056451613,0.007,1.121,0.090121058,0.097005697,0.110652829,0.19,0.03853006,3.134144452,0.056544345,0.342679174,0.402977186,3.301965982,1.812796867,21.34578983,4.887470851,3.906215915,0,0,0,0.033647011,0.030468451,1.027219349,0.03239189,4.403212197,0,,,,15163,710.3508523,908.7675694,275.2201489,2564.45,8865.73,42.57362115,232.6465278,275.2201489,710.3508523
9,720,14.97083527,3.737972222,11.61847222,11.59013889,19.16527778,0.504166667,13.67263889,1.01089908,1.789989763,0.222270448,0.216666667,0.025,1.008,0.149457385,0.173331805,0.116548619,0.19,0.063842326,3.222270448,0.10690666,0.525628434,0.710624605,3.677867036,1.569516637,21.22806781,4.611279171,4.448610694,0,0,0,0.046151396,0.04994813,0.748277352,0.052634194,4.340531318,0,,,,13799,650.0356097,1651.79263,449.1170054,2691.34,9844.3,77.81172759,371.3052778,449.1170054,650.0356097
