,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,,,,,,,,,,,,,,,,,,
ODA Temperature (°C),Count,ODA Temperature (°C),EL 007 (kW),GHE EFT (°C),GHE ExFT (°C),Clg Provided (kW),Bldg Htg Provided (kW),EL 003 (kW),CP Energy (kW),DHW Provided by HP (kW),DHW by LPS (kW),Useful Bldg Htg by LPS (kW),Bldg Htg Uncertainty (kW),Bldg Clg Uncertainty (kW),DHW Htg by HP Uncertainty (kW),Bldg + DHW Htg by HP Uncertainty (kW),EL007+EL011 Uncertainty (kW),EL011 Uncertainty (kW),LPS DHW Uncertainty (kW),LPS Elec. Usage (kW),HtgFrac,COP H4,COP H3,COP H2,COP C3,COP C2,Overall (H+C) COP,Not used,Not used,Not used,Not used,Not used,Error COP H3,Error COP H2,Error COP H3b,Error COP C2,,,,,,,,,,,,,,,,,,,,
-15,1,-14.666668,18.98,6.1,7.6,3,77,10.99,1.03136782,0,0,3,3.865876356,0.158113883,0,3.865876356,0.281546276,0.19,0,3,0.9625,2.706554514,4.005469162,4.536699432,7.279344859,77.5668956,4.147642517,0,0,0,0,0.158076402,0.201625519,0.239880714,0.201625519,14.810642,,,,,,,,,,,,,,,,,,0.9625,,
-14,6,-13.97222367,19.08333333,6.2,7.616666667,4.333333333,67.66666667,11.00666667,1.014191747,0.092958793,0.009699074,3,3.402229348,0.230518101,0.006991726,3.402347876,0.278749357,0.19,0.002785847,3.009699074,0.939892419,2.404795582,3.532008925,3.979571336,6.549935687,71.08415049,3.736910767,0,0,0,0,0.139716284,0.176773546,0.210175004,0.176773601,13.78702919,,,,,,,,,,,,,,,,,,0.939892419,,
-13,5,-12.9222234,20.34,5.62,7.62,4.6,70.4,11.058,1.03136782,0.111550551,0.011638889,3,3.545149817,0.245638359,0.008390071,3.54532548,0.286064381,0.19,0.003343016,3.011638889,0.938757755,2.39327197,3.450463849,3.853813437,6.792507737,72.8271225,3.655507223,0,0,0,0,0.138984538,0.172711144,0.202922087,0.172711216,13.90704472,,,,,,,,,,,,,,,,,,0.938757755,,
-12,3,-12.20370467,25.82,5.366666667,7.4,10,120.3333333,12.60666667,1.109967557,1.115505515,0.116388889,3,6.034644618,0.613990147,0.083900713,6.035738608,0.329550129,0.19,0.033430163,3.116388889,0.923924775,3.324610836,4.640073929,5.118131165,10.42693063,118.4258387,4.996858145,0,0,0,0,0.192023069,0.231935387,0.264108574,0.23193873,21.10879651,,,,,,,,,,,,,,,,,,0.923924775,,
-11,5,-11.0222232,28.886,5.18,7.26,11.2,113.4,14.214,1.270769989,2.454112133,0.256055556,3,5.688069456,0.602440703,0.184581569,5.692395123,0.360838656,0.19,0.073546359,3.256055556,0.911848583,2.846324057,3.964425346,4.324739049,8.938659922,99.98198985,4.321091673,0,0,0,0,0.16196862,0.195354944,0.220349806,0.19537028,15.73549407,,,,,,,,,,,,,,,,,,0.911848583,,
-10,12,-9.89351925,22.33,6.075,7.783333333,7.583333333,84.91666667,12.36666667,1.112145401,1.069026118,0.111539352,3,4.265021255,0.40027876,0.08040485,4.266741078,0.306006515,0.19,0.03203724,3.111539352,0.918954662,2.644273716,3.815398655,4.248205942,7.566228527,84.13380663,4.124220024,0,0,0,0,0.152026037,0.189431147,0.220375243,0.189436115,14.96756067,,,,,,,,,,,,,,,,,,0.918954662,,
-9,6,-9.2407415,29.57833333,5.15,7.483333333,12.66666667,104.5,13.91833333,1.26911229,2.974681373,0.31037037,3,5.242496643,0.663123022,0.223735235,5.24915163,0.362190853,0.19,0.089147102,3.31037037,0.894568632,2.635904377,3.607030843,3.921965423,8.631877479,94.66565645,4.002007813,0,0,0,0,0.148891091,0.176119942,0.198468681,0.176143858,14.90780642,,,,,,,,,,,,,,,,,,0.894568632,,
-8,4,-7.97222275,17.0375,6.3,7.975,7.25,59.75,10.7625,0.979839603,0.278467391,0.029097222,3,3.004565102,0.390900498,0.02096159,3.004728367,0.259006242,0.19,0.008357541,3.029097222,0.892238925,2.367006025,3.520457855,4.03345184,6.251193254,68.66273542,3.902216763,0,0,0,0,0.13713537,0.175305771,0.213750136,0.175306392,13.75078899,,,,,,,,,,,,,,,,,,0.892238925,,Figure 4
-7,9,-6.858025333,21.67555556,6.377777778,7.822222222,10.88888889,81.77777778,14.55,1.045299445,2.661267347,0.278040123,2.666666667,4.105331411,0.577802367,0.2003115,4.125926151,0.292417804,0.19,0.079860945,3.278040123,0.885774416,2.528203641,3.866288771,4.369778603,6.551748042,91.19677094,4.32521755,0,0,0,0,0.141962471,0.189280753,0.223563088,0.189313731,17.16520423,,,,,,,,,,,,,,,,,,0.885774416,,
