Day #,Tavg,COPdaily,HtgDaily,DHW w Leg. Daily,DHWdaily,Htg+DHW inc. Leg.  daily,,ClgSum,Clg2Sum,GHE EFT(°C),GHE ExFT(°C),BHHE,Htg Fraction,EH3,EH4,EC2,EC3,COPH3,COPH4,COPC2,COPC3,Overall COP,All Conditioning,EH2,All HP Heating,COPH2,DHW by HP,DHW w LPS,Elec003,Elec007,EH1,Htg Portion of SSCCP,Elec. Used by Load side CP & fans,DHW by LPS,Ht Loss by LPS,Useful Ht Loss by LPS,"Useful Ht dissipated by internal pumps, fans","Htg. Portion of electricity used by internal pumps, fans"
4/1/16,4.43287075,,704,,,782.9251389,,73.80699894,,,,,0.913850554,,,,,,,,,2.863141992,856.7321378,,,,,,,,,,,,,,,
4/2/16,4.581018958,,640,,,714.0368056,,112.5858124,,,,,0.863800228,,,,,,,,,2.97255481,826.6226179,,,,,,,,,,,,,,,
4/3/16,8.2152785,,502,,,568.8147222,,193.8080495,,,,,0.745866427,,,,,,,,,3.630587806,762.6227718,,,,,,,,,,,,,,,
4/4/16,4.67592625,,723,,,802.9144444,,223.168357,,,,,0.782504534,,,,,,,,,3.426466944,1026.082801,,,,,,,,,,,,,,,
4/5/16,6.615741333,,570,,,647.3218056,,285,,,,,0.694311558,,,,,,,,,3.572147791,932.3218056,,,,,,,,,,,,,,,
4/6/16,6.682870917,,570,,,650.2054167,,269,,,,,0.707355946,,,,,,,,,3.421182661,919.2054167,,,,,,,,,,,,,,,
4/7/16,6.789352208,,590,,,670.5545833,,265,,,,,0.716745549,,,,,,,,,3.382979161,935.5545833,,,,,,,,,,,,,,,
4/8/16,6.293981958,,645,,,723.0522222,,267,,,,,0.730317256,,,,,,,,,3.581169307,990.0522222,,,,,,,,,,,,,,,
4/9/16,6.34722275,,540,,,608.5023611,,190,,,,,0.762054555,,,,,,,,,3.26504905,798.5023611,,,,,,,,,,,,,,,
4/10/16,6.159722792,,557,,,627.3384722,,203,,,,,0.755521385,,,,,,,,,3.485631046,830.3384722,,,,,,,,,,,,,,,
4/11/16,6.664352542,,493,,,569.85625,,329,,,,,0.633979293,,,,,,,,,3.570990825,898.85625,,,,,,,,,,,,,,,
4/12/16,7.627315375,,504,,,580.6234722,,334,,,,,0.634822405,,,,,,,,,3.902184607,914.6234722,,,,,,,,,,,,,,,
4/13/16,7.340278292,,483,,,554.38,,325,,,,,0.630421433,,,,,,,,,3.683257729,879.38,,,,,,,,,,,,,,,
4/14/16,3.972222542,,587,,,666.5652778,,313,,,,,0.680470503,,,,,,,,,3.619339226,979.5652778,,,,,,,,,,,,,,,
4/15/16,6.622685667,,539,,,614.4013889,,306,,,,,0.667536356,,,,,,,,,3.823207974,920.4013889,,,,,,,,,,,,,,,
4/16/16,5.791667167,,515,,,587.9311111,,186,,,,,0.759668532,,,,,,,,,3.256491433,773.9311111,,,,,,,,,,,,,,,
4/17/16,6.699074583,,480,,,549.9311111,,187,,,,,0.746244938,,,,,,,,,3.262380445,736.9311111,,,,,,,,,,,,,,,
