Best estimate of cooling provided,Negative values,Best estimate of heating provided,Ambient temperature (°C),,,,
 (kWh/h),(kWh/h),(kWh/h),°C,,,,
Cooling,Cooling,Heating ,ODA,,,,
0,0,192,-14.666668,,,,
0,0,181,-14.444446,,,,
0,0,171,-14.277779,,,,
0,0,167,-13.944446,,,,
0,0,165,-13.944446,,,,
0,0,150,-13.666668,,,,
0,0,149,-13.555557,,,,
0,0,145,-13.166668,,,,
1,-1,145,-13.000001,,,,
1,-1,136,-13.000001,,,,
1,-1,135,-12.777779,,,,
2,-2,134,-12.666668,,,,
2,-2,133,-12.38889,,,,
2,-2,130,-12.38889,,,,
2,-2,126,-11.833334,,,,
2,-2,121,-11.333334,,,,
2,-2,119,-11.333334,,,,
2,-2,114,-11.166668,,,,
2,-2,114,-10.666668,,,,
2,-2,112,-10.611112,,,,
2,-2,112,-10.222223,,,,
2,-2,112,-10.222223,,,,
2,-2,112,-10.111112,,,,
2,-2,111,-10.000001,,,,
2,-2,110,-9.944445,,,,
2,-2,110,-9.944445,,,,
2,-2,110,-9.944445,,,,
2,-2,110,-9.777779,,,,
2,-2,108,-9.777779,,,,
2,-2,108,-9.666667,,,,
2,-2,107,-9.555556,,,,
2,-2,106,-9.555556,,,,Figure 5
2,-2,105,-9.38889,,,,
2,-2,105,-9.38889,,,,
2,-2,105,-9.333334,,,,
2,-2,105,-9.333334,,,,
2,-2,104,-9.222223,,,,
2,-2,102,-8.777778,,,,
2,-2,102,-8.333334,,,,
2,-2,102,-8.166667,,,,
2,-2,102,-7.777778,,,,
2,-2,101,-7.611112,,,,
2,-2,100,-7.333334,,,,
2,-2,100,-7.166667,,,,
2,-2,100,-6.944445,,,,
2,-2,98,-6.944445,,,,
2,-2,98,-6.944445,,,,
2,-2,98,-6.722223,,,,
2,-2,98,-6.666667,,,,
2,-2,97,-6.500001,,,,
2,-2,97,-6.500001,,,,
2,-2,97,-6.388889,,,,
2,-2,96,-6.388889,,,,
2,-2,96,-6.333334,,,,
2,-2,95,-6.333334,,,,
2,-2,95,-6.222223,,,,
2,-2,95,-6.222223,,,,
2,-2,94,-6.222223,,,,
2,-2,94,-6.222223,,,,
2,-2,94,-6.111112,,,,
2,-2,93,-6.111112,,,,
2,-2,93,-6.111112,,,,
2,-2,93,-6.055556,,,,
2,-2,93,-6.055556,,,,
2,-2,93,-5.944445,,,,
2,-2,92,-5.944445,,,,
2,-2,92,-5.888889,,,,
2,-2,92,-5.777778,,,,
2.43902439,-2.43902439,92,-5.777778,,,,
2.43902439,-2.43902439,92,-5.777778,,,,
2.43902439,-2.43902439,92,-5.777778,,,,
2.43902439,-2.43902439,92,-5.777778,,,,
2.43902439,-2.43902439,91,-5.777778,,,,
2.43902439,-2.43902439,90,-5.666667,,,,
2.43902439,-2.43902439,90,-5.666667,,,,
2.43902439,-2.43902439,90,-5.666667,,,,
2.43902439,-2.43902439,90,-5.666667,,,,
2.43902439,-2.43902439,90,-5.666667,,,,
2.43902439,-2.43902439,90,-5.666667,,,,
2.43902439,-2.43902439,90,-5.611112,,,,
2.43902439,-2.43902439,90,-5.611112,,,,
2.43902439,-2.43902439,90,-5.611112,,,,
2.43902439,-2.43902439,89,-5.611112,,,,
2.43902439,-2.43902439,89,-5.611112,,,,
3,-3,89,-5.611112,,,,
3,-3,89,-5.5,,,,
3,-3,89,-5.5,,,,
3,-3,89,-5.5,,,,
3,-3,89,-5.444445,,,,
3,-3,89,-5.444445,,,,
3,-3,88,-5.444445,,,,
3,-3,88,-5.333334,,,,
3,-3,88,-5.333334,,,,
3,-3,88,-5.333334,,,,
3,-3,88,-5.333334,,,,
3,-3,88,-5.333334,,,,
3,-3,88,-5.277778,,,,
3,-3,88,-5.277778,,,,
3,-3,88,-5.277778,,,,
3,-3,88,-5.277778,,,,
3,-3,87,-5.277778,,,,
3,-3,87,-5.277778,,,,
