Component included,Annual (kWh),SPF(H1),SPF(H2),SPF(H3),SPF(H4),,,,,,,,,
Delivered space Heating from HP (kWh),193831.5,x,x,x,x,,,,,,,,,
Delivered DHW Heating from HP (kWh),16279.92078,x,x,x,x,,,,,,,,,
Delivered DHW Heating from legionella protection system (kWh),1783.8925,---,---,x,x,,,,,,,,,
Useful delivered heating to building by legionella protection system (kWh),15798,,,(x),(x),,,,,,,,,
Useful heat dissipated by the internal fans and pumps,65961.98271,,,(x),(x),,,,,,,,,
Electricity used by HP compressor (kWh),n.a.,x,---,---,---,,,,,,,,,
Electricity used by HP compressor and internal circ pump (kWh),52208.4175,---,x,x,x,,,,,,,,,
"Electricity used by source side circulation pump, heating portion (kWh)",3998.141349,---,x,x,x,,,,,,,,,
Electricity used by legionella protection system (kWh),28063.8925,---,---,x,x,,,,,,,,,
"Electricity used by load side circulation pumps,  fans & EAHR (kWh)",48293,---,---,---,x,,,,,,,,,
,,n.a.,3.738201112,2.701935372,,,,,,,,,,
,SPF H1 can be approximated as:,4.02,,,,,,,,,,,,
,"(includes internal, but not external circ. pump)",,,,,,,,,,,,,
,,,,,,,,,,,,,,
Component included,Annual (kWh),SPF(C1),SPF(C2),SPF(C3),SPF(C4),,,,,,,,,
Delivered space Cooling (kWh),130137,x,x,x,x,,,,,,,,,
Delivered space cooling from supplementary cooling (kWh),0,---,---,---,x,,,,,,,,,
Electricity used by cooling unit compressor (kWh),0,x,x,x,x,,,,,,,,,
"Electricity used by source side circulation pump, cooling portion (kWh)",4877,---,x,x,x,,,,,,,,,
Electricity used by load side circulation pumps and fans (kWh),57148,---,---,x,x,,,,,,,,,
Electricity used by supplementary cooling units (kWh),0,---,---,---,x,,,,,,,,,
,,n.a.,26.68336099,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,194588.2,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Component,Delivered energy,Electricity use,,,,,,,,,,,,
Space heating from HP,193832,,,,,,,,,,,,,
Space cooling,130137,,,,,,,,,,,,,
DHW heating from HP,16279.92078,,,,,,,,,,,,,
DHW heating from LPS,1784,,,,,,,,,,,,,
Heating to bldg from LPS,15798,,,,,,,,,,,,,
HP compressor and built-in circ pump,,52208,,,,,,,,,,,,
Source side circ pump (htg),,3998,,,,,,,,,,,,
"Load side circ pumps, fans+heat recovery HEX (htg)",,48293,,,,,,,,,,,,
Source side circ pump (clg),,4877,,,,,,,,,,,,
"Load side circ pumps, fans including part of heat recovery HEX (clg)",,57148,,,,,,,,,,,,
LPS,,28064,,,,,,,,,,,,
,,,,,,,,,,,,,,
Check,Should be:,,,,,,,,,,,,,
Total electricity,194588,194588,0,,,,,,,,,,,
Total source-side circ pump electricity,8875,8875,0,,,,,,,,,,,
EL003 from components,114316,114316,0,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,0.54186569,,,,,,,,,,,,
